game_id,name,release_date,total_reviews,positive_percent
730,Counter-Strike 2,"21 Aug, 2012",8814885.0,86.0
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025",44334.0,74.0
2138720,REMATCH,"19 Jun, 2025",,
1172710,Dune: Awakening,"10 Jun, 2025",,
2625420,Drive Beyond Horizons,"24 Mar, 2025",6075.0,80.0
3241660,R.E.P.O.,"26 Feb, 2025",151801.0,96.0
3489700,Stellar Blade™,"11 Jun, 2025",,
227300,Euro Truck Simulator 2,"12 Oct, 2012",658192.0,97.0
381210,Dead by Daylight,"14 Jun, 2016",579578.0,79.0
3059520,F1® 25,"30 May, 2025",1813.0,88.0
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"21 Mar, 2019",234405.0,95.0
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2557201.0,59.0
252490,Rust,"8 Feb, 2018",1019578.0,87.0
1304930,The Outlast Trials,"5 Mar, 2024",55400.0,93.0
2933620,Call of Duty®: Black Ops 6,"24 Oct, 2024",11870.0,45.0
306130,The Elder Scrolls® Online,"22 May, 2017",127822.0,82.0
2221490,Tom Clancy’s The Division® 2,"12 Jan, 2023",20082.0,77.0
553850,HELLDIVERS™ 2,"8 Feb, 2024",740605.0,77.0
2623190,The Elder Scrolls IV: Oblivion Remastered,"22 Apr, 2025",45412.0,81.0
3164500,Schedule I,"24 Mar, 2025",187304.0,98.0
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024",118848.0,83.0
1245620,ELDEN RING,"24 Feb, 2022",765852.0,92.0
570,Dota 2,"9 Jul, 2013",2499904.0,81.0
3533100,Wrap House Simulator🌯,"29 May, 2025",248.0,87.0
2669320,EA SPORTS FC™ 25,"26 Sep, 2024",68558.0,49.0
